Ordinateur Bureau,hp,elitedesk 801,1,czc49834td,Salle 4-7
Ordinateur Bureau,lenovo,thinkcentre,1,s4e05486,Salle 4-8
Ordinateur Bureau,lenovo,thinkcentre,1,s4e05415,Salle 4-9
Ordinateur Bureau,lenovo,thinkcentre,1,s4e05492,Salle 4-10
Ordinateur Bureau,lenovo,thinkcentre,1,s4e05454,Salle 4-11
Ordinateur Bureau,lenovo,thinkcentre,1,s4e05435,Salle 4-12
écran ,dell,p2312ht,1,cn-0yj3jx-74445-372-a5dm,Salle 4-13
écran ,dell,p2312ht,1,cn-0yj3jx-75u05-256-a5dm,Salle 4-14
écran ,dell,p2312ht,1,cn-0yj3jx-44wtr-372-a5dm,Salle 4-15
écran ,dell,p2312ht,1,cn-0yj3jx-79445-f72-a5dm,Salle 4-16
écran ,hp ,v27e,1,1cr117105n,Salle 4-17
écran ,dell,e2310hc,1,cn-0j271r-64180-085-00ss,Salle 4-18
écran ,Samsung,s22c200b,1,0285H4MG601140F,Salle 4-19
écran ,Samsung,s22c200b,1,0285H4MG607693F,Salle 4-20
écran ,Fujitsu,B22W-6,1,YV3U202980,Salle 4-21
écran ,Fujitsu,B22W-6,1,YV3U202351,Salle 4-22
écran ,Fujitsu,B22W-6,1,YV3U203542,Salle 4-23
Vidéoprojecteur,EPSON,EB-E01,1,X88T1303895,Salle 4-3
Ordinateur mini,hp,elitedesk,1,8cg7480265g6,Salle 4-4
Ordinateur mini,hp,elitedesk,1,8cg7480267h5,Salle 4-5
Ordinateur mini,hp,elitedesk,1,8cg7480364k8,Salle 4-6
Ordinateur mini,hp,elitedesk,1,8cg7480988c5,Salle 4-7
Ordinateur mini,hp,elitedesk,1,8cg7480269a2,Salle 4-8
écran ,Dell,P2312HE,1,cn-0yj33jx-74445-28i38nh,Salle 4-9
écran ,Dell,P2312HE,1,cn-0yj33jx-74445-28i69jd,Salle 4-10
écran ,Dell,P2312HE,1,cn-0yj33jx-74445-28i01bg,Salle 4-11
écran ,Dell,P2312HE,1,cn-0yj33jx-74445-28i42jg,Salle 4-12
écran ,Dell,P2312HE,1,cn-0yj33jx-74445-28i90sd,Salle 4-13
écran ,Dell,P2312HE,1,cn-0yj33jx-74445-28i19hg,Salle 4-14
impriment,hp,laserjet pro mfp m26nw,1,cnbkl2tff6,Bureau 5eme étage
pc portable,dell,latitude e5590,1,8m4n1n2,Bureau 5eme étage
Telephone IP,FANVIL,X303,1,0C383E4F1110,Bureau 5eme étage
Vidéoprojecteur,EPSON,EB-E02,1,X88T1600193,Salle 5-1
Vidéoprojecteur,EPSON,CO-W01,1,XBF42Y07307,Salle 5-2
Vidéoprojecteur,EPSON,EB-S05,1,X4G98600459,Salle 6-1
Vidéoprojecteur,EPSON,EB-S06,1,X4G98600458,Salle 6-2
Déclencheur d'alarme,teletech electronics jsc,sensoMAG MCP50,18,,
Détecteur de fumée,teletech electronics jsc,,83,,
Sirène de fumée,teletech electronics jsc,,12,,
Point d’accès,UNIFI,U6+,22,,
Speaker,Blue-Whale,BWS-41S,24,,
